voltage,current,temp,humidity,DEMAND
7.387057094,3.542184849,26.43181264,75,954.2018
11.77804184,10.33802783,30.96096141,66,913.866
4.46433415,8.215992646,28.63380077,55,903.3637
7.28045423,2.686759428,35.21938947,71,889.0806
12.65716524,9.077204007,30.59620574,63,910.1472
6.723642111,0.500896585,29.42340328,64,922.1737
12.5310569,0.199721291,29.50719398,69,939.9442
2.623879633,7.006300146,33.68465359,56,1077.8575
2.781341016,0.413656018,31.78772629,65,1179.6601
10.67079125,5.619884971,25.77911003,65,1255.1569
9.392931592,10.61223489,30.97864871,76,1253.4414
11.33945313,11.62961669,35.13141679,62,1223.6116
2.42738916,9.581871757,30.33744663,74,1160.2838
2.855342406,10.99577033,31.36016532,69,1124.8878
4.450294546,5.635866215,27.97320423,70,1112.4189
12.59099457,2.984226158,29.87845956,76,1081.7406
11.78628762,6.43019133,32.07780154,80,1064.8583
8.812686125,0.978059446,29.80320968,75,1095.5704
5.671757339,7.949832969,34.46618263,67,1116.6654
10.74067061,8.887988264,33.4347695,78,1094.677
1.497502358,3.810351808,25.0414281,62,1075.2083
11.83256168,0.097278752,28.70760891,59,1041.0831
3.783589564,7.122631395,31.697198,67,988.5723
2.935327761,5.739833274,25.85666043,79,939.5286
2.233436755,12.3670828,31.81811205,75,904.3712
10.06572825,4.784420776,27.07369821,60,883.9448
4.681305646,3.052674575,35.79856015,70,871.9966
11.83263955,5.506752237,28.6893461,78,856.8211
1.663830866,10.51930457,35.23179086,62,849.8465
12.35277987,4.029070187,32.72777114,72,822.266
9.807418968,12.28602955,26.07442512,60,838.5545
5.325787584,9.680477084,26.70697562,56,899.4324
4.935089581,0.934287367,34.13989321,68,965.9481
2.676414701,1.53441499,27.01181592,69,1002.2078
6.482624449,4.64160063,28.69247088,65,1056.399
2.499037434,8.990969746,33.28561051,69,1056.4006
4.279059342,2.419470761,26.47228124,62,1077.2239
5.306142601,7.119805473,35.89902407,72,1088.7217
3.526095568,8.087433694,30.4063919,75,1046.6546
5.823530531,4.028347035,25.93070035,76,1017.8311
4.253871525,3.753272306,32.85539099,56,1006.1248
5.992796453,9.146757418,25.21997903,56,1046.1947
11.17393745,5.2089552,27.51179681,80,1091.9585
4.448106141,1.498788818,33.29436628,67,1090.4694
10.09783197,6.557325808,31.47127802,58,1091.6983
9.031786687,7.189868225,30.59262127,75,1034.9049
8.996029481,2.289211238,28.54474586,58,994.0731
3.483107515,7.364584673,27.49389088,80,943.5229
2.340729924,10.8206374,35.56220048,55,905.0674
6.049234814,12.58544332,28.1209053,62,879.561
6.531423052,3.157786016,26.6980402,55,866.0936
1.882895937,5.261096319,32.45600446,57,867.6498
5.093946682,7.159118096,27.15342269,64,894.4236
9.555297288,10.14146942,26.40698396,63,932.014
1.539098484,3.437687217,31.21424286,55,1056.5999
10.82121729,6.791565392,25.36098114,73,1243.7667
9.864425413,10.29540907,32.65054273,61,1374.76
10.24342809,2.574658018,35.89821197,78,1422.2283
12.74885312,9.07085534,32.1017311,67,1462.1711
11.96960633,1.371688232,26.27013172,76,1459.8766
4.824749493,11.10565711,34.6515098,72,1485.6554
2.212173322,11.44442934,33.22462103,62,1495.018
10.25426314,7.646267614,29.2636426,64,1457.9692
